target,throughput,mean,p50,p90,p95,p99
50,50.0,5.045594976284585,4.192663,7.190469,9.511196,22.847461
100,100.0,3.7520212460000004,3.1478699999999997,5.247299,6.981872,12.340754
200,200.0,4.123267114666667,3.6250259999999996,6.330058,7.523084,10.427059999999999
500,503.0,4.333132058940397,3.8287220000000004,6.088881000000001,7.349279,12.481441
1000,1016.0,3.5577916324590166,3.181377,5.157212,6.032538,9.738707
2500,2617.0,2.723597737693228,2.3726909999999997,3.638191,4.581737,9.063956000000001
5000,5487.0,29.014196522360315,2.9565810000000003,8.053523,270.356135,519.215323
10000,11488.0,401.51248839559804,22.269748,1290.1712539999999,1896.480327,3588.910754
50,50.0,3.3393043736702124,2.604898,5.2758069999999995,7.071078000000001,12.223263000000001
100,100.0,2.4959628034528554,2.051585,4.246646,5.348002999999999,7.531261000000001
200,200.0,2.1226381393333336,1.8176400000000001,3.136761,4.445482,6.356112
500,503.0,1.6605501426490066,1.450611,2.251727,3.038642,4.982576
1000,1016.0,1.5003546617270997,1.376877,1.9514939999999998,2.266457,3.762255
2500,2616.0,1.5163213703118632,1.324514,1.877932,2.185382,4.374411
5000,5490.0,1.3984280879627944,1.240054,1.7512,2.037749,3.3926149999999997
10000,12090.0,1.679351865534449,1.287382,2.002844,2.581825,10.687486000000002
25000,37190.0,594.0017314599527,1.541284,132.72118700000001,3538.7373909999997,10688.033332
